WallIDX	Tgt	Prj	Chrg	Value
11	al	w	3	0.171219
11	n	al	0	0.00325238
11	n	al	1	0.100821
11	n	al	2	0.23675
11	n	al	3	0.355641
11	n	d	0	0.00102659
11	n	d	1	0.0257827
11	n	n	0	0.00473657
11	n	n	1	0.115591
11	n	n	2	0.250292
11	n	n	3	0.363878
11	n	w	0	2.37948e-06
11	n	w	1	0.00819623
11	n	w	2	0.0506368
11	n	w	3	0.114375
11	w	al	0	0
11	w	al	1	-2.27003e-31
11	w	al	2	-5.56491e-30
11	w	al	3	-2.04662e-29
11	w	d	0	0
11	w	d	1	1.62817e-33
11	w	n	0	0
11	w	n	1	-1.33555e-31
11	w	n	2	-3.29448e-30
11	w	n	3	-1.25012e-29
11	w	w	0	0
11	w	w	1	-1.40064e-30
11	w	w	2	-1.45774e-29
11	w	w	3	-3.81838e-29
12	al	al	0	0.00189067
12	al	al	1	0.0314351
12	al	al	2	0.0921538
12	al	al	3	0.181669
12	al	d	0	2.94747e-05
12	al	d	1	0.00570817
12	al	n	0	0.00181677
12	al	n	1	0.032664
12	al	n	2	0.0964442
12	al	n	3	0.191209
12	al	w	0	1.17526e-26
12	al	w	1	0.00160587
12	al	w	2	0.00515701
12	al	w	3	0.0212015
12	n	al	0	0.00288396
12	n	al	1	0.0230091
12	n	al	2	0.0604748
12	n	al	3	0.105134
12	n	d	0	0.000838343
12	n	d	1	0.00623349
12	n	n	0	0.00392593
12	n	n	1	0.0275213
12	n	n	2	0.070118
12	n	n	3	0.116624
12	n	w	0	2.37692e-06
12	n	w	1	0.00108102
12	n	w	2	0.00346047
12	n	w	3	0.0120448
12	w	al	0	0
12	w	al	1	-8.53502e-33
12	w	al	2	-2.74088e-32
12	w	al	3	-3.20645e-31
12	w	d	0	0
12	w	d	1	2.07047e-35
12	w	n	0	0
12	w	n	1	-2.50926e-33
12	w	n	2	-8.05808e-33
12	w	n	3	-1.82814e-31
12	w	w	0	0
12	w	w	1	-8.91539e-32
12	w	w	2	-2.86303e-31
12	w	w	3	-1.39808e-30
13	al	al	0	0.00236403
13	al	al	1	0.0279296
13	al	al	2	0.0823101
13	al	al	3	0.153111
13	al	d	0	3.63326e-05
13	al	d	1	0.00484852
13	al	n	0	0.00222799
13	al	n	1	0.0287393
13	al	n	2	0.0855701
13	al	n	3	0.160328
13	al	w	0	1.1151e-26
13	al	w	1	0.00144115
13	al	w	2	0.0047682
13	al	w	3	0.0155979
13	n	al	0	0.00310577
13	n	al	1	0.018146
13	n	al	2	0.0467715
13	n	al	3	0.0787578
13	n	d	0	0.000864395
13	n	d	1	0.0048196
13	n	n	0	0.0040815
13	n	n	1	0.0215283
13	n	n	2	0.0537945
13	n	n	3	0.0880233
13	n	w	0	2.70231e-06
13	n	w	1	0.000840625
13	n	w	2	0.00276975
13	n	w	3	0.00789718
13	w	al	0	0
13	w	al	1	-2.59651e-33
13	w	al	2	-8.59082e-33
13	w	al	3	-7.67383e-32
13	w	d	0	0
13	w	d	1	2.80938e-36
13	w	n	0	0
13	w	n	1	-6.26858e-34
13	w	n	2	-2.07403e-33
13	w	n	3	-4.09915e-32
13	w	w	0	0
13	w	w	1	-2.66445e-32
13	w	w	2	-8.8156e-32
13	w	w	3	-3.35095e-31
14	al	al	0	0.0025207
14	al	al	1	0.0397109
14	al	al	2	0.0995434
14	al	al	3	0.190896
14	al	d	0	3.91892e-05
14	al	d	1	0.00737859
14	al	n	0	0.00241318
14	al	n	1	0.0413006
14	al	n	2	0.10409
14	al	n	3	0.200885
14	al	w	0	-6.75617e-28
14	al	w	1	0.00210373
14	al	w	2	0.00563322
14	al	w	3	0.0229702
14	n	al	0	0.00374198
14	n	al	1	0.0274097
14	n	al	2	0.0633136
14	n	al	3	0.106832
14	n	d	0	0.00107985
14	n	d	1	0.00736578
14	n	n	0	0.00506382
14	n	n	1	0.032429
14	n	n	2	0.0731925
14	n	n	3	0.118141
14	n	w	0	3.11345e-06
14	n	w	1	0.00137778
14	n	w	2	0.00368091
14	n	w	3	0.012657
14	w	al	0	0
14	w	al	1	-3.31548e-33
14	w	al	2	-8.87793e-33
14	w	al	3	-1.06592e-31
14	w	d	0	0
14	w	d	1	2.4645e-37
14	w	n	0	0
14	w	n	1	-9.3376e-34
14	w	n	2	-2.50035e-33
14	w	n	3	-6.05805e-32
14	w	w	0	0
14	w	w	1	-3.44889e-32
14	w	w	2	-9.23518e-32
14	w	w	3	-4.4935e-31
15	al	al	0	0.00290297
15	al	al	1	0.0589757
15	al	al	2	0.146819
15	al	al	3	0.258438
15	al	d	0	4.54941e-05
15	al	d	1	0.0114478
15	al	n	0	0.00280941
15	al	n	1	0.0617354
15	al	n	2	0.154495
15	al	n	3	0.270383
15	al	w	0	7.10241e-26
15	al	w	1	0.00317177
15	al	w	2	0.0146559
15	al	w	3	0.0457661
15	n	al	0	0.00465641
15	n	al	1	0.0419493
15	n	al	2	0.09226
15	n	al	3	0.146624
15	n	d	0	0.00137112
15	n	d	1	0.0112988
15	n	n	0	0.00640558
15	n	n	1	0.0492675
15	n	n	2	0.103803
15	n	n	3	0.158453
15	n	w	0	3.77267e-06
15	n	w	1	0.00223755
15	n	w	2	0.00896978
15	n	w	3	0.0244995
15	w	al	0	0
15	w	al	1	4.40613e-31
15	w	al	2	5.14345e-30
15	w	al	3	3.18254e-29
15	w	d	0	0
15	w	d	1	-5.02068e-26
15	w	n	0	0
15	w	n	1	1.35145e-31
15	w	n	2	2.87647e-30
15	w	n	3	1.89733e-29
15	w	w	0	0
15	w	w	1	4.62211e-30
15	w	w	2	2.47147e-29
15	w	w	3	9.82476e-29
16	al	al	0	0.00258021
16	al	al	1	0.0426061
16	al	al	2	0.106878
16	al	al	3	0.202009
16	al	d	0	4.00838e-05
16	al	d	1	0.00796323
16	al	n	0	0.00246759
16	al	n	1	0.044322
16	al	n	2	0.11182
16	al	n	3	0.21252
16	al	w	0	4.91916e-27
16	al	w	1	0.00227879
16	al	w	2	0.00692878
16	al	w	3	0.0256094
16	n	al	0	0.00380095
16	n	al	1	0.0289347
16	n	al	2	0.0664002
16	n	al	3	0.111155
16	n	d	0	0.00109455
16	n	d	1	0.00775849
16	n	n	0	0.00513478
16	n	n	1	0.0341322
16	n	n	2	0.0763392
16	n	n	3	0.122476
16	n	w	0	3.17111e-06
16	n	w	1	0.00148091
16	n	w	2	0.00432752
16	n	w	3	0.0138343
16	w	al	0	0
16	w	al	1	2.33258e-32
16	w	al	2	1.0366e-31
16	w	al	3	8.35354e-31
16	w	d	0	0
16	w	d	1	4.54163e-37
16	w	n	0	0
16	w	n	1	6.5088e-33
16	w	n	2	4.31949e-32
16	w	n	3	4.79048e-31
16	w	w	0	0
16	w	w	1	2.42432e-31
16	w	w	2	7.7081e-31
16	w	w	3	3.33491e-30
17	al	al	0	0.00216651
17	al	al	1	0.047191
17	al	al	2	0.128925
17	al	al	3	0.23997
17	al	d	0	3.39403e-05
17	al	d	1	0.00900911
17	al	n	0	0.00209566
17	al	n	1	0.0493262
17	al	n	2	0.135535
17	al	n	3	0.251472
17	al	w	0	-4.2789e-27
17	al	w	1	0.00249605
17	al	w	2	0.0113041
17	al	w	3	0.0394041
17	n	al	0	0.00346336
17	n	al	1	0.0341942
17	n	al	2	0.0828077
17	n	al	3	0.137563
17	n	d	0	0.00101896
17	n	d	1	0.00923971
17	n	n	0	0.0047611
17	n	n	1	0.0404161
17	n	n	2	0.0940365
17	n	n	3	0.149479
17	n	w	0	2.80923e-06
17	n	w	1	0.00175609
17	n	w	2	0.00707649
17	n	w	3	0.0214024
17	w	al	0	0
17	w	al	1	-2.73179e-32
17	w	al	2	-2.80327e-31
17	w	al	3	-2.0036e-30
17	w	d	0	0
17	w	d	1	8.81758e-36
17	w	n	0	0
17	w	n	1	-8.34968e-33
17	w	n	2	-1.51246e-31
17	w	n	3	-1.19077e-30
17	w	w	0	0
17	w	w	1	-2.86468e-31
17	w	w	2	-1.46623e-30
17	w	w	3	-6.44888e-30
18	al	al	0	0.00198209
18	al	al	1	0.0770108
18	al	al	2	0.225324
18	al	al	3	0.383366
18	al	d	0	3.15448e-05
18	al	d	1	0.0154319
18	al	n	0	0.00195856
18	al	n	1	0.0812043
18	al	n	2	0.236603
18	al	n	3	0.395479
18	al	w	0	-2.31993e-26
18	al	w	1	0.00403264
18	al	w	2	0.0351439
18	al	w	3	0.0969058
18	n	al	0	0.00364184
18	n	al	1	0.0607483
18	n	al	2	0.147301
18	n	al	3	0.229447
18	n	d	0	0.00110616
18	n	d	1	0.0164989
18	n	n	0	0.0051386
18	n	n	1	0.0713421
18	n	n	2	0.160609
18	n	n	3	0.240767
18	n	w	0	2.82528e-06
18	n	w	1	0.00325206
18	n	w	2	0.0219391
18	n	w	3	0.0555949
18	w	al	0	0
18	w	al	1	-2.76232e-31
18	w	al	2	-1.04336e-29
18	w	al	3	-5.1207e-29
18	w	d	0	0
18	w	d	1	3.4636e-34
18	w	n	0	0
18	w	n	1	-9.64812e-32
18	w	n	2	-6.19268e-30
18	w	n	3	-3.09216e-29
18	w	w	0	0
18	w	w	1	-2.93887e-30
18	w	w	2	-3.53955e-29
18	w	w	3	-1.16659e-28
19	al	al	0	0.00231079
19	al	al	1	0.0603219
19	al	al	2	0.163488
19	al	al	3	0.290301
19	al	d	0	3.66031e-05
