WallIDX	Prj	Chrg	Value
72	al	3	0.186797
72	n	0	0.0576499
72	n	1	0.361105
72	n	2	0.328999
72	n	3	0.290979
72	w	0	0
72	w	1	3.04902e-24
72	w	2	1.82138e-23
72	w	3	9.39022e-07
73	al	0	0.00418911
73	al	1	0.0358246
73	al	2	0.103042
73	al	3	0.158438
73	n	0	0.0794763
73	n	1	0.20084
73	n	2	0.32522
73	n	3	0.387996
73	w	0	0
73	w	1	2.10708e-26
73	w	2	7.17152e-26
73	w	3	3.21401e-25
74	al	0	0.00446218
74	al	1	0.0511002
74	al	2	0.125924
74	al	3	0.178363
74	n	0	0.0880923
74	n	1	0.226404
74	n	2	0.36907
74	n	3	0.386172
74	w	0	0
74	w	1	2.18574e-26
74	w	2	5.9138e-26
74	w	3	3.53312e-25
75	al	0	0.00520774
75	al	1	0.0772383
75	al	2	0.154457
75	al	3	0.193779
75	n	0	0.105297
75	n	1	0.275737
75	n	2	0.376721
75	n	3	0.375315
75	w	0	0
75	w	1	4.75145e-25
75	w	2	3.05431e-24
75	w	3	9.72519e-24
76	al	0	0.0045787
76	al	1	0.0554915
76	al	2	0.131742
76	al	3	0.184585
76	n	0	0.0904983
76	n	1	0.234713
76	n	2	0.37456
76	n	3	0.387108
76	w	0	0
76	w	1	9.82254e-26
76	w	2	3.27992e-25
76	w	3	1.6349e-24
77	al	0	0.00267605
77	al	1	0.169252
77	al	2	0.190705
77	al	3	0.171501
77	n	0	0.0660949
77	n	1	0.351626
77	n	2	0.30553
77	n	3	0.26602
77	w	0	0
77	w	1	4.36282e-25
77	w	2	1.84237e-24
77	w	3	1.13025e-07
78	al	0	0.00229664
78	al	1	0.169569
78	al	2	0.133893
78	al	3	0.10896
78	n	0	0.0611523
78	n	1	0.269691
78	n	2	0.213853
78	n	3	0.180652
78	w	0	0
78	w	1	-5.54477e-25
78	w	2	3.59116e-06
78	w	3	6.94241e-06
79	al	0	0.00363397
79	al	1	0.137298
79	al	2	0.19862
79	al	3	0.199534
79	n	0	0.0811969
79	n	1	0.359654
79	n	2	0.347888
79	n	3	0.314626
79	w	0	0
79	w	1	-7.3327e-27
79	w	2	-4.92944e-26
79	w	3	-1.05007e-25
80	al	0	0.00500183
