VarInfo	ResiduumInfo	Residuum	Value	AbsTol
CNw62	Residuum equation #187(Solvar: CNw62)	-5.55112e-17	0.419694	1e-06
CWw62	Residuum equation #188(Solvar: CWw62)	-2.25695e-36	-3.06536e-21	1e-06
CALw63	Residuum equation #189(Solvar: CALw63)	-2.22045e-16	0.552624	1e-06
CNw63	Residuum equation #190(Solvar: CNw63)	0	0.447376	1e-06
CWw63	Residuum equation #191(Solvar: CWw63)	4.70198e-38	2.94708e-22	1e-06
CALw64	Residuum equation #192(Solvar: CALw64)	5.55112e-16	0.618997	1e-06
CNw64	Residuum equation #193(Solvar: CNw64)	-3.33067e-16	0.381003	1e-06
CWw64	Residuum equation #194(Solvar: CWw64)	1.31655e-36	9.81703e-22	1e-06
CALw65	Residuum equation #195(Solvar: CALw65)	-4.44089e-16	0.697591	1e-06
CNw65	Residuum equation #196(Solvar: CNw65)	-2.22045e-16	0.302408	1e-06
CWw65	Residuum equation #197(Solvar: CWw65)	4.70198e-38	2.99423e-22	1e-06
CALw66	Residuum equation #198(Solvar: CALw66)	-8.88178e-16	0.666097	1e-06
CNw66	Residuum equation #199(Solvar: CNw66)	5.55112e-17	0.333903	1e-06
CWw66	Residuum equation #200(Solvar: CWw66)	-5.64237e-37	-6.75449e-22	1e-06
CALw67	Residuum equation #201(Solvar: CALw67)	-2.22045e-16	0.637387	1e-06
CNw67	Residuum equation #202(Solvar: CNw67)	3.33067e-16	0.362613	1e-06
CWw67	Residuum equation #203(Solvar: CWw67)	3.76158e-37	-2.17221e-21	1e-06
CALw68	Residuum equation #204(Solvar: CALw68)	2.22045e-16	0.69611	1e-06
CNw68	Residuum equation #205(Solvar: CNw68)	-2.22045e-16	0.30389	1e-06
CWw68	Residuum equation #206(Solvar: CWw68)	-1.88079e-37	5.13007e-22	1e-06
CALw69	Residuum equation #207(Solvar: CALw69)	-1.11022e-16	0.69169	1e-06
CNw69	Residuum equation #208(Solvar: CNw69)	-1.11022e-16	0.30831	1e-06
CWw69	Residuum equation #209(Solvar: CWw69)	1.41059e-37	1.62194e-22	1e-06
CALw70	Residuum equation #210(Solvar: CALw70)	1.11022e-15	0.552155	1e-06
CNw70	Residuum equation #211(Solvar: CNw70)	-7.77156e-16	0.447845	1e-06
CWw70	Residuum equation #212(Solvar: CWw70)	3.76158e-37	4.33918e-22	1e-06
CALw71	Residuum equation #213(Solvar: CALw71)	-1.11022e-16	0.540552	1e-06
CNw71	Residuum equation #214(Solvar: CNw71)	1.66533e-16	0.459447	1e-06
CWw71	Residuum equation #215(Solvar: CWw71)	-1.50463e-36	-8.2962e-21	1e-06
CALw72	Residuum equation #216(Solvar: CALw72)	9.99201e-16	0.630545	1e-06
CNw72	Residuum equation #217(Solvar: CNw72)	-1.11022e-16	0.369455	1e-06
CWw72	Residuum equation #218(Solvar: CWw72)	-2.35099e-37	2.7998e-22	1e-06
CALw73	Residuum equation #219(Solvar: CALw73)	-3.33067e-16	0.765577	1e-06
CNw73	Residuum equation #220(Solvar: CNw73)	1.38778e-16	0.234423	1e-06
CWw73	Residuum equation #221(Solvar: CWw73)	0	4.98433e-23	1e-06
CALw74	Residuum equation #222(Solvar: CALw74)	9.99201e-16	0.73243	1e-06
CNw74	Residuum equation #223(Solvar: CNw74)	2.77556e-16	0.26757	1e-06
CWw74	Residuum equation #224(Solvar: CWw74)	-4.11423e-38	3.12276e-23	1e-06
CALw75	Residuum equation #225(Solvar: CALw75)	-1.11022e-16	0.714412	1e-06
CNw75	Residuum equation #226(Solvar: CNw75)	0	0.285587	1e-06
CWw75	Residuum equation #227(Solvar: CWw75)	9.40395e-38	2.87177e-22	1e-06
CALw76	Residuum equation #228(Solvar: CALw76)	-3.33067e-16	0.731518	1e-06
CNw76	Residuum equation #229(Solvar: CNw76)	-1.11022e-16	0.268482	1e-06
CWw76	Residuum equation #230(Solvar: CWw76)	-1.41059e-37	1.33772e-22	1e-06
