WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
36	45.000	80.538	0.500	0.500	0.000	0.019806	0.019806
25	45.000	81.044	0.500	0.500	0.000	0.0202604	0.0202604
55	45.000	81.552	0.500	0.500	0.000	0.0207106	0.0207106
24	45.000	82.252	0.500	0.500	0.000	0.0213385	0.0213385
48	45.000	82.748	0.500	0.500	0.000	0.0217819	0.0217819
60	45.000	82.753	0.500	0.500	0.000	0.0217848	0.0217848
15	45.000	82.995	0.500	0.500	0.000	0.0220092	0.0220092
30	45.000	83.127	0.500	0.500	0.000	0.0221273	0.0221273
75	45.000	83.138	0.500	0.500	0.000	0.022135	0.022135
45	45.000	83.226	0.500	0.500	0.000	0.0222148	0.0222148
0	45.000	83.292	0.500	0.500	0.000	0.0222733	0.0222733
32	45.000	83.892	0.500	0.500	0.000	0.0228115	0.0228115
52	45.000	84.994	0.500	0.500	0.000	0.0237971	0.0237971
84	45.000	85.382	0.500	0.500	0.000	0.0241452	0.0241452
40	45.000	86.480	0.500	0.500	0.000	0.0251284	0.0251284
4	45.000	88.052	0.500	0.500	0.000	0.026536	0.026536
50	45.000	88.876	0.500	0.500	0.000	0.0272754	0.0272754
80	45.000	89.301	0.500	0.500	0.000	0.0276529	0.0276529
54	45.000	89.561	0.500	0.500	0.000	0.0278842	0.0278842
9	45.000	90.866	0.500	0.500	0.000	0.0290578	0.0290578
19	45.000	91.118	0.500	0.500	0.000	0.029283	0.029283
5	45.000	92.690	0.500	0.500	0.000	0.0306895	0.0306895
39	45.000	92.910	0.500	0.500	0.000	0.0308856	0.0308856
37	45.000	93.806	0.500	0.500	0.000	0.031686	0.031686
41	45.000	93.912	0.500	0.500	0.000	0.0317811	0.0317811
2	45.000	94.278	0.500	0.500	0.000	0.0321082	0.0321082
81	45.000	94.602	0.500	0.500	0.000	0.0323995	0.0323995
85	45.000	94.902	0.500	0.500	0.000	0.0326694	0.0326694
65	45.000	94.967	0.500	0.500	0.000	0.0327297	0.0327297
8	45.000	95.654	0.500	0.500	0.000	0.0333404	0.0333404
47	45.000	95.786	0.500	0.500	0.000	0.0334613	0.0334613
83	45.000	96.443	0.500	0.500	0.000	0.0340522	0.0340522
6	45.000	97.450	0.500	0.500	0.000	0.0349479	0.0349479
23	45.000	97.485	0.500	0.500	0.000	0.0349853	0.0349853
10	45.000	97.544	0.500	0.500	0.000	0.0350365	0.0350365
7	45.000	98.071	0.500	0.500	0.000	0.0355085	0.0355085
66	45.000	98.450	0.500	0.500	0.000	0.0358454	0.0358454
53	45.000	98.452	0.500	0.500	0.000	0.0358486	0.0358486
82	45.000	98.988	0.500	0.500	0.000	0.0363263	0.0363263
34	45.000	99.370	0.500	0.500	0.000	0.0366723	0.0366723
20	45.000	99.423	0.500	0.500	0.000	0.0367178	0.0367178
21	45.000	100.210	0.500	0.500	0.000	0.0375305	0.0375305
38	45.000	100.477	0.500	0.500	0.000	0.0378895	0.0378895
49	45.000	100.716	0.500	0.500	0.000	0.0382243	0.0382243
35	45.000	101.063	0.500	0.500	0.000	0.0387104	0.0387104
68	45.000	102.240	0.500	0.500	0.000	0.0403434	0.0403434
79	45.000	103.800	0.500	0.500	0.000	0.0425095	0.0425095
51	45.000	104.243	0.500	0.500	0.000	0.0431262	0.0431262
11	45.000	104.876	0.500	0.500	0.000	0.0440034	0.0440034
33	45.000	105.333	0.500	0.500	0.000	0.0446365	0.0446365
