WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
18	45.000	78.490	0.690	0.310	-0.000	0.372657	0.372657
26	45.000	79.199	0.694	0.306	-0.000	0.373156	0.373156
17	45.000	79.276	0.717	0.283	-0.000	0.37821	0.37821
77	45.000	79.844	0.603	0.397	0.000	0.351626	0.351626
36	45.000	80.538	0.692	0.308	-0.000	0.37178	0.37178
25	45.000	81.044	0.711	0.289	0.000	0.375714	0.375714
55	45.000	81.552	0.686	0.314	0.000	0.369819	0.369819
24	45.000	82.252	0.710	0.290	-0.000	0.374831	0.374831
48	45.000	82.748	0.682	0.318	-0.000	0.368003	0.368003
60	45.000	82.753	0.714	0.286	-0.000	0.375446	0.375446
15	45.000	82.995	0.716	0.284	-0.000	0.375759	0.375759
30	45.000	83.127	0.716	0.284	-0.000	0.375766	0.375766
75	45.000	83.138	0.714	0.286	0.000	0.375315	0.375315
45	45.000	83.226	0.716	0.284	0.000	0.375653	0.375653
0	45.000	83.292	0.716	0.284	0.000	0.375658	0.375658
32	45.000	83.892	0.701	0.299	-0.000	0.371797	0.371797
52	45.000	84.994	0.692	0.308	-0.000	0.369071	0.369071
84	45.000	85.382	0.706	0.294	0.000	0.371889	0.371889
40	45.000	86.480	0.693	0.307	-0.000	0.368389	0.368389
4	45.000	88.052	0.684	0.316	0.000	0.365271	0.365271
50	45.000	88.876	0.702	0.298	-0.000	0.368846	0.368846
80	45.000	89.301	0.706	0.294	-0.000	0.36949	0.36949
54	45.000	89.561	0.702	0.298	-0.000	0.368447	0.368447
9	45.000	90.866	0.702	0.298	0.000	0.367717	0.367717
19	45.000	91.118	0.698	0.302	-0.000	0.366604	0.366604
5	45.000	92.690	0.698	0.302	-0.000	0.365692	0.365692
39	45.000	92.910	0.705	0.295	-0.000	0.367172	0.367172
37	45.000	93.806	0.668	0.332	0.000	0.358089	0.358089
41	45.000	93.912	0.675	0.325	0.000	0.359666	0.359666
2	45.000	94.278	0.672	0.328	-0.000	0.358779	0.358779
81	45.000	94.602	0.703	0.297	0.000	0.365557	0.365557
85	45.000	94.902	0.591	0.409	-0.000	0.34022	0.34022
65	45.000	94.967	0.698	0.302	-0.000	0.364198	0.364198
8	45.000	95.654	0.704	0.296	0.000	0.365232	0.365232
47	45.000	95.786	0.688	0.312	0.000	0.361436	0.361436
83	45.000	96.443	0.700	0.300	0.000	0.363856	0.363856
6	45.000	97.450	0.701	0.299	0.000	0.363342	0.363342
23	45.000	97.485	0.699	0.301	0.000	0.362887	0.362887
10	45.000	97.544	0.668	0.332	0.000	0.355945	0.355945
7	45.000	98.071	0.698	0.302	-0.000	0.362425	0.362425
66	45.000	98.450	0.666	0.334	0.000	0.354952	0.354952
53	45.000	98.452	0.699	0.301	-0.000	0.362399	0.362399
82	45.000	98.988	0.697	0.303	0.000	0.361638	0.361638
34	45.000	99.370	0.698	0.302	-0.000	0.361686	0.361686
20	45.000	99.423	0.694	0.306	-0.000	0.360632	0.360632
21	45.000	100.210	0.660	0.340	0.000	0.352589	0.352589
38	45.000	100.477	0.699	0.301	-0.000	0.361103	0.361103
49	45.000	100.716	0.695	0.305	-0.000	0.360065	0.360065
35	45.000	101.063	0.699	0.301	0.000	0.360636	0.360636
68	45.000	102.240	0.696	0.304	0.000	0.359088	0.359088
79	45.000	103.800	0.651	0.349	-0.000	0.347888	0.347888
51	45.000	104.243	0.696	0.304	0.000	0.357647	0.357647
11	45.000	104.876	0.654	0.346	0.000	0.347747	0.347747
33	45.000	105.333	0.690	0.310	0.000	0.355468	0.355468
69	45.000	106.943	0.692	0.308	-0.000	0.354564	0.354564
62	45.000	109.786	0.580	0.420	-0.000	0.328031	0.328031
56	45.000	109.968	0.641	0.359	0.000	0.341063	0.341063
18	45.000	112.084	0.690	0.310	-0.000	0.350422	0.350422
36	45.000	112.653	0.692	0.308	-0.000	0.350351	0.350351
67	45.000	115.948	0.637	0.363	-0.000	0.336002	0.336002
55	45.000	116.799	0.686	0.314	0.000	0.345971	0.345971
3	45.000	117.824	0.579	0.421	0.000	0.322056	0.322056
48	45.000	118.427	0.682	0.318	-0.000	0.343731	0.343731
52	45.000	119.302	0.692	0.308	-0.000	0.345366	0.345366
72	45.000	123.610	0.631	0.369	0.000	0.328999	0.328999
40	45.000	124.226	0.693	0.307	-0.000	0.341874	0.341874
4	45.000	125.633	0.684	0.316	0.000	0.338814	0.338814
22	45.000	126.544	0.628	0.372	-0.000	0.326281	0.326281
37	45.000	132.518	0.668	0.332	0.000	0.330297	0.330297
64	45.000	132.794	0.619	0.381	0.000	0.319984	0.319984
2	45.000	135.762	0.672	0.328	-0.000	0.328788	0.328788
41	45.000	136.143	0.675	0.325	0.000	0.32911	0.32911
66	45.000	139.532	0.666	0.334	0.000	0.324819	0.324819
10	45.000	140.789	0.668	0.332	0.000	0.324291	0.324291
21	45.000	142.162	0.660	0.340	0.000	0.321731	0.321731
86	45.000	144.956	0.562	0.438	0.000	0.299451	0.299451
