WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
41	45.000	51.681	0.675	0.325	0.000	0.0797965	0.0797965
1	45.000	51.836	0.728	0.272	-0.000	0.0686569	0.0686569
46	45.000	52.128	0.728	0.272	0.000	0.0692335	0.0692335
57	45.000	52.746	0.703	0.297	0.000	0.076321	0.076321
42	45.000	52.762	0.709	0.291	0.000	0.0749868	0.0749868
2	45.000	52.794	0.672	0.328	-0.000	0.0836004	0.0836004
87	45.000	53.946	0.693	0.307	0.000	0.0819366	0.0819366
10	45.000	54.299	0.668	0.332	0.000	0.0887896	0.0887896
37	45.000	55.094	0.668	0.332	0.000	0.0912104	0.0912104
26	45.000	55.946	0.694	0.306	-0.000	0.0868279	0.0868279
17	45.000	56.596	0.717	0.283	-0.000	0.0828077	0.0828077
11	45.000	57.197	0.654	0.346	0.000	0.100821	0.100821
66	45.000	57.368	0.666	0.334	0.000	0.0981496	0.0981496
25	45.000	57.692	0.711	0.289	0.000	0.0871445	0.0871445
21	45.000	58.258	0.660	0.340	0.000	0.102273	0.102273
79	45.000	58.281	0.651	0.349	-0.000	0.104866	0.104866
73	45.000	58.641	0.766	0.234	0.000	0.0742593	0.0742593
88	45.000	58.740	0.757	0.243	0.000	0.0769453	0.0769453
28	45.000	59.037	0.760	0.240	0.000	0.0766196	0.0766196
43	45.000	59.048	0.761	0.239	0.000	0.0763705	0.0763705
24	45.000	59.326	0.710	0.290	-0.000	0.091415	0.091415
13	45.000	59.455	0.756	0.244	0.000	0.0787567	0.0787567
58	45.000	59.532	0.751	0.249	-0.000	0.0803158	0.0803158
32	45.000	59.676	0.701	0.299	-0.000	0.0948247	0.0948247
56	45.000	59.745	0.641	0.359	0.000	0.112317	0.112317
60	45.000	60.184	0.714	0.286	-0.000	0.0924025	0.0924025
15	45.000	60.360	0.716	0.284	-0.000	0.09226	0.09226
30	45.000	60.456	0.716	0.284	-0.000	0.0923832	0.0923832
75	45.000	60.464	0.714	0.286	0.000	0.0929676	0.0929676
45	45.000	60.528	0.716	0.284	0.000	0.092626	0.092626
0	45.000	60.576	0.716	0.284	0.000	0.0926842	0.0926842
84	45.000	61.394	0.706	0.294	0.000	0.0979552	0.0979552
54	45.000	64.226	0.702	0.298	-0.000	0.106432	0.106432
