 SDTrimSP: VERSION 6.00    16.03.2022
D -> Al2O3                                                                      
           1       number species of projectiles
 DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT(1): D    
         500        100000.     50.000          number of depth ,nproj,e_tot [MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]    [number]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED  FRENKEL P.  NUM.COLL.      NRT-DPA
  1.7700E+02  1.1500E+02  4.9800E+02  9.4588E-03  3.8216E-03  5.0576E-03  3.9567E-03  3.3816E+02  0.0000E+00  2.6763E+02
  1.7900E+02  9.1000E+01  5.8800E+02  8.2124E-03  3.3256E-03  4.4511E-03  3.3908E-03  2.7577E+02  0.0000E+00  2.1116E+02
  1.8100E+02  6.7000E+01  5.8900E+02  6.8768E-03  2.9476E-03  3.8150E-03  2.7363E-03  2.3307E+02  0.0000E+00  1.8973E+02
  1.8300E+02  6.2000E+01  6.5100E+02  6.3176E-03  2.7031E-03  3.5198E-03  2.4984E-03  2.1679E+02  0.0000E+00  1.7428E+02
  1.8500E+02  6.5000E+01  6.9000E+02  5.3090E-03  2.2408E-03  2.9736E-03  2.0768E-03  1.7251E+02  0.0000E+00  1.2920E+02
  1.8700E+02  5.6000E+01  7.9400E+02  4.7064E-03  2.0041E-03  2.5454E-03  1.9281E-03  1.5306E+02  0.0000E+00  1.2326E+02
  1.8900E+02  4.9000E+01  7.9900E+02  4.3451E-03  1.8115E-03  2.6056E-03  1.5360E-03  1.4264E+02  0.0000E+00  1.0279E+02
  1.9100E+02  5.0000E+01  9.0600E+02  3.6962E-03  1.5242E-03  2.0596E-03  1.4414E-03  1.0948E+02  0.0000E+00  9.1283E+01
  1.9300E+02  4.7000E+01  8.9700E+02  3.2595E-03  1.3934E-03  1.9515E-03  1.1279E-03  1.0064E+02  0.0000E+00  7.5102E+01
  1.9500E+02  4.1000E+01  9.8000E+02  3.2241E-03  1.2564E-03  1.9948E-03  1.0525E-03  9.9702E+01  0.0000E+00  7.5848E+01
  1.9700E+02  3.5000E+01  1.0510E+03  2.7830E-03  1.0313E-03  1.5336E-03  1.1021E-03  8.1251E+01  0.0000E+00  6.5259E+01
  1.9900E+02  3.5000E+01  1.0880E+03  2.2573E-03  8.1335E-04  1.2813E-03  8.5799E-04  7.8088E+01  0.0000E+00  6.0254E+01
  2.0100E+02  2.4000E+01  1.1690E+03  1.8012E-03  7.1879E-04  1.0533E-03  6.4243E-04  5.8395E+01  0.0000E+00  4.1979E+01
  2.0300E+02  3.0000E+01  1.1910E+03  1.4525E-03  5.8297E-04  9.1313E-04  4.4729E-04  3.8852E+01  0.0000E+00  3.1403E+01
  2.0500E+02  2.2000E+01  1.2780E+03  1.3048E-03  5.0558E-04  7.6603E-04  4.5665E-04  4.1812E+01  0.0000E+00  2.8713E+01
  2.0700E+02  1.8000E+01  1.3310E+03  1.0689E-03  4.2293E-04  6.7975E-04  3.2257E-04  3.0606E+01  0.0000E+00  2.4491E+01
  2.0900E+02  1.6000E+01  1.3560E+03  8.0964E-04  3.1848E-04  5.0856E-04  2.4325E-04  2.4771E+01  0.0000E+00  1.9632E+01
  2.1100E+02  1.6000E+01  1.4320E+03  6.2236E-04  2.6790E-04  4.0837E-04  1.6393E-04  1.3036E+01  0.0000E+00  7.0000E+00
  2.1300E+02  1.0000E+01  1.4710E+03  6.9700E-04  2.5962E-04  4.1827E-04  2.3424E-04  2.0878E+01  0.0000E+00  1.1587E+01
  2.1500E+02  6.0000E+00  1.5530E+03  5.4964E-04  2.2412E-04  3.5428E-04  1.6392E-04  1.1830E+01  0.0000E+00  9.8096E+00
  2.1700E+02  8.0000E+00  1.5710E+03  5.1588E-04  2.1019E-04  3.1478E-04  1.6711E-04  1.5900E+01  0.0000E+00  1.2000E+01
  2.1900E+02  9.0000E+00  1.6080E+03  3.9609E-04  1.6227E-04  2.5391E-04  1.1541E-04  9.9562E+00  0.0000E+00  6.0000E+00
  2.2100E+02  7.0000E+00  1.6430E+03  3.2834E-04  1.2631E-04  2.2410E-04  7.9500E-05  1.2097E+01  0.0000E+00  7.0408E+00
  2.2300E+02  6.0000E+00  1.7150E+03  2.6432E-04  1.0952E-04  1.9963E-04  4.5025E-05  7.0000E+00  0.0000E+00  5.0000E+00
  2.2500E+02  2.0000E+00  1.6720E+03  2.2055E-04  9.4376E-05  1.3483E-04  7.1789E-05  4.6650E+00  0.0000E+00  3.4644E+00
  2.2700E+02  2.0000E+00  1.7220E+03  1.9801E-04  7.6045E-05  9.2138E-05  9.5372E-05  5.1075E+00  0.0000E+00  4.0303E+00
  2.2900E+02  4.0000E+00  1.7420E+03  1.5278E-04  5.0452E-05  7.9448E-05  6.3439E-05  5.1357E+00  0.0000E+00  2.1198E+00
  2.3100E+02  4.0000E+00  1.6780E+03  1.5399E-04  4.3032E-05  9.5272E-05  5.0383E-05  7.4101E+00  0.0000E+00  3.3015E+00
  2.3300E+02  2.0000E+00  1.7090E+03  1.1927E-04  3.6440E-05  6.4647E-05  4.6122E-05  2.0378E+00  0.0000E+00  2.0931E+00
  2.3500E+02  3.0000E+00  1.7320E+03  1.3776E-04  3.7260E-05  7.1883E-05  5.5576E-05  3.1283E+00  0.0000E+00  2.0988E+00
  2.3700E+02  6.0000E+00  1.7920E+03  1.1258E-04  3.2619E-05  8.8276E-05  1.2789E-05  0.0000E+00  0.0000E+00  0.0000E+00
  2.3900E+02  1.0000E+00  1.8270E+03  5.0273E-05  1.8579E-05  3.8447E-05  5.9351E-06  0.0000E+00  0.0000E+00  0.0000E+00
  2.4100E+02  2.0000E+00  1.6760E+03  7.3856E-05  2.3221E-05  4.4855E-05  2.3533E-05  1.0000E+00  0.0000E+00  1.0000E+00
  2.4300E+02  0.0000E+00  1.8080E+03  6.4281E-05  2.1011E-05  4.6400E-05  1.4552E-05  2.0000E+00  0.0000E+00  1.0000E+00
  2.4500E+02  1.0000E+00  1.7100E+03  1.8958E-05  1.0875E-05  1.6559E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4700E+02  0.0000E+00  1.6110E+03  3.6303E-05  9.9433E-06  1.7853E-05  1.7377E-05  8.8189E-01  0.0000E+00  1.0000E+00
  2.4900E+02  0.0000E+00  1.6500E+03  1.7690E-05  6.5846E-06  1.7131E-05  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00
  2.5100E+02  0.0000E+00  1.5380E+03  1.6203E-05  6.4064E-06  1.5414E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5300E+02  0.0000E+00  1.5870E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5500E+02  0.0000E+00  1.5520E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5700E+02  0.0000E+00  1.4750E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5900E+02  0.0000E+00  1.4310E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6100E+02  0.0000E+00  1.3790E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6300E+02  0.0000E+00  1.2630E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6500E+02  0.0000E+00  1.2850E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6700E+02  0.0000E+00  1.2190E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6900E+02  0.0000E+00  1.0610E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7100E+02  0.0000E+00  1.0480E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7300E+02  0.0000E+00  1.0320E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7500E+02  0.0000E+00  8.7600E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7700E+02  0.0000E+00  8.2900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7900E+02  0.0000E+00  8.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8100E+02  0.0000E+00  7.5800E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8300E+02  0.0000E+00  6.5600E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8500E+02  0.0000E+00  6.4300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8700E+02  0.0000E+00  5.8100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8900E+02  0.0000E+00  5.0300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9100E+02  0.0000E+00  5.0600E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9300E+02  0.0000E+00  3.7900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9500E+02  0.0000E+00  3.6900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9700E+02  0.0000E+00  3.0900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9900E+02  0.0000E+00  3.1100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0100E+02  0.0000E+00  2.1800E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0300E+02  0.0000E+00  2.5200E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0500E+02  0.0000E+00  2.0300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0700E+02  0.0000E+00  1.7600E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0900E+02  0.0000E+00  1.6400E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1100E+02  0.0000E+00  1.3700E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1300E+02  0.0000E+00  1.1100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1500E+02  0.0000E+00  9.8000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1700E+02  0.0000E+00  8.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
